run_id,variety,change_id,mode,check_class,change_time,action,boundary_before,boundary_after,test_drop_result,reason,notes_changes,,,
T160,pink_lady,1,san_jose_rgb,class2,08:57,c,70,70,na,clean,skin with little white spots affect the accuracy?,,,
T161,pink_lady,1,calyx_minor_ir,class2,10:33,a,50,5,tl,,noticed from c1 drop,,,
T161,pink_lady,2,decay_lbd,class3,10:36,c,0,0,na,leaf,,,,
T161,pink_lady,3,san_jose_rgb,class2,10:57,c,70,70,na,,skin with little white spots affect the accuracy?,,,
T161,pink_lady,4,stem_puncture_ir2,class2,11:00,a,45,0,ts,scab_minor,big hits,,,
T161,pink_lady,5,stem_puncture_ir2,juice,11:04,a,80,0,ts,,,,,
T161,pink_lady,6,stem_puncture_ir2,class2,11:07,a,0,70,ok,,move from juice,,,
T161,pink_lady,7,hail_ir,class2,11:10,c,15,15,ok,,,,,
T161,pink_lady,8,holes_ir,class2,11:13,c,1,1,ok,,,,,
T161,pink_lady,9,decay_rgb,juice,11:21,a,50,0,ok,,move to juice,,,
T161,pink_lady,10,decay_rgb,class3,11:21,a,150,50,ok,"major,crack",,,,
T161,pink_lady,11,decay_rgb,class3_front,11:22,c,0,0,na,,,,,
T161,pink_lady,12,major_ir,juice,11:25,a,40,45,ok,,,,,
T161,pink_lady,13,major_ir,class2,11:38,a,0,20,ok,"sunbunr_major,scab_minor,holes",,,,
T162,pink_lady,1,decay_rgb,class3,14:02,a,50,0,na,,,,,
T162,pink_lady,2,holes_ir,class2,14:10,c,1,1,ok,,,,,
T162,pink_lady,3,hail_ir,class2,14:13,c,15,15,ok,,,,,
T162,pink_lady,4,lenticel_ir,class2,14:14,c,12,12,ok,,,,,
T162,pink_lady,5,san_jose_rgb,class2,14:16,c,70,70,ok,,,,,
T162,pink_lady,6,stem_puncture_ir2,class2,14:20,c,70,70,ok,,,,,
T163,bravo,1,calyx_crack_ir2,juice_front,07:20,a,100,150,ok,"dirt_stem,stem,pests,crack_skin,decay",,,,
T163,bravo,2,holes_ir,juice_front,07:25,a,35,30,ok,"crack_skin,marks_skin,holes,sunburn_major",,,,
T163,bravo,3,cuts_ir2,juice_front,07:31,a,15,10,ok,"hail_major,holes,leaf,sunburn_major",,,,
T163,bravo,4,c2defects_ir,juice_front,07:42,c,20,20,ok,"marks_skin,russets,sunburn",,,,
T163,bravo,5,stem_crack_ir2,juice_front,07:56,a,35,25,ok,"crack_skin,stem",,,,
T163,bravo,6,lenticel_ir,juice,07:59,c,15,15,m,"major,crack_skin,hail_major",,,,
T163,bravo,7,shrivel_ir2,juice,08:02,a,35,35,m,"hail_major,marks_skin",,,,
T164,bravo,1,calyx_crack_ir2,juice_front,08:47,a,150,200,ts,dirt_stem,,,,
T164,bravo,2,stem_crack_ir2,juice_front,08:56,a,25,0,ts,dirt_stem,dirt_stem affecting its accuracy,,,
T164,bravo,3,decay_ir,class3_front,09:14,a,3000,800,tl,"decay,major,leaf,clean",,,,
T164,bravo,4,san_jose_rgb,juice,09:19,a,100,70,tl,san_jose,,,,
T165,pink_lady,1,stem_decay_rgb,class3,07:28,a,0,200,ok,,no leaf,,,
T165,pink_lady,2,stem_puncture_ir2,juice,07:22,a,150,100,ts,"lenticel,holes",,,,
T165,pink_lady,3,stem_puncture_ir2,class2,07:37,a,70,45,ok,,ajust back to normal color setting,,,
T165,pink_lady,4,stem_puncture_ir2,class1,08:29,c,0,0,ok,,checking,,,
T165,pink_lady,5,calyx_minor_ir,class2,08:34,c,5,5,ok,,,,,
T165,pink_lady,6,san_jose_rgb,class2,08:45,a,70,120,ts,white_spots,white color spot on the skin sffecting its accuracy,,,
T165,pink_lady,7,c2defects_ir,class2,08:50,c,120,120,ok,,,,,
T166,pink_lady,1,holes_ir,class2,11:20,c,1,1,ok,,,,,
T166,pink_lady,2,hail_ir,class2,11:23,a,15,35,ts,"scab,stem_punctures",,,,
T166,pink_lady,3,bruises_rgb,class2,11:31,c,65,65,ok,,,,,
T166,pink_lady,4,hail_ir2,class1,11:38,c,25,25,ok,"clean,lenticel_minor,bruises",,,,
T166,pink_lady,5,bruises_ir2,class1,11:44,a,25,15,ok,"bruises_minor,uneven_skin",,,,
T166,pink_lady,6,stem_puncture_ir2,class2,11:49,c,45,45,ok,"lenticel_minor, stem_punctures",,,,
T166,pink_lady,7,leaf,leaf,11:55,a,30,300,ts,,,,,
T166,pink_lady,8,scab_ir2,scab,12:28,a,60,40,ok,"scab,stem_punctures,bruises",,,,
T167,granny_smith,1,brown,brown,07:11,a,6,8,ts,,"no brown showing,brown drop has fruits dropping",,,
T167,granny_smith,2,bruises_green2,juice_front,07:17,a,0,150,tl,bruises_major,class2:1000,,,
T167,granny_smith,3,holes_ir,juice,07:21,c,10,10,ok,,,,,
T167,granny_smith,4,decay_green,juice,07:24,a,200,0,swap,"leaf,russets,sunburn_dark",reading leaves move to juice_front,,,
T167,granny_smith,5,decay_green,juice_front,07:24,a,0,200,swap,,,,,
T167,granny_smith,6,bruises_green,juice,07:33,a,205,60,tl,,,,,
T167,granny_smith,7,bruises_green2,juice_front,07:36,a,150,100,tl,,,,,
T167,granny_smith,8,bruises_green,juice,07:38,a,60,55,tl,,,,,
T167,granny_smith,9,russetng_rgb,juice_front,07:54,c,0,0,ts,"leaf,clean",,,,
T167,granny_smith,10,skin_marks_green,juice,08:49,s,700,400,ok,russets,Andrew ask to improve the quality due to heavy bruises across,,,
T167,granny_smith,11,russeting_green,juice,08:51,s,700,500,ok,leaf,,,,
T167,granny_smith,12,bruises_green2,juice_front,08:54,s,100,80,ok,,,,,
T167,granny_smith,13,sunburn_rgb,juice,10:31,a,70,60,ok,"sunburn,marks_skin",,,,
T167,granny_smith,14,skin_marks_green,juice,10:42,a,350,130,ok,"russets,marks_skin,bruises_major",,,,
T167,granny_smith,15,sunburn_rgb,juice,10:56,a,80,10,tl,sunburn_marks,,,,
T167,granny_smith,16,russeting_green,juice,11:05,a,500,300,ok,russets,,,,
